,city,country,city id,lat,max temp,humidity,wind speed,cloud coverage
207,Broome,AU,7839347,-18.21,62.6,82,4.7,0
208,Cam Ranh,VN,1586350,11.92,80.94,90,10.76,36
209,Berlevag,NO,780687,70.86,80.6,87,10.29,0
210,Agirish,RU,1512101,61.92,68.16,48,5.73,12
211,Ahipara,NZ,2194098,-35.17,42.69,100,4.5,20
212,Plettenberg Bay,ZA,964712,-34.05,70.05,75,2.48,8
213,Chiredzi,ZW,893485,-21.05,69.8,52,5.82,0
214,Bilma,NE,2446796,18.69,104.61,11,4.61,8
215,Bambous Virieux,MU,1106677,-20.34,69.8,77,10.29,75
216,Laguna,BR,3459094,-28.48,69.96,83,15.57,20
217,Souillac,MU,933995,-20.52,69.8,77,10.29,75
218,Saint-Pierre,PM,3424934,46.77,66.2,72,5.82,0
219,Cervo,ES,6355242,43.67,66.72,100,7.96,80
220,Boyolangu,ID,1648082,-8.12,73.74,100,7.96,8
221,Tiksi,RU,2015306,71.69,41.97,76,8.41,92
222,Vilyuysk,RU,2013392,63.76,63.03,53,5.61,32
223,George,ZA,1002145,-33.96,68.0,52,12.75,0
224,Tucumcari,US,5495360,35.17,91.4,19,16.11,1
225,Natitingou,BJ,2392601,10.3,75.2,88,9.17,75
226,Sadovoye,RU,499528,51.53,77.61,73,4.16,80
227,Los Llanos de Aridane,ES,2514651,28.66,75.2,69,18.34,20
228,Katsuura,JP,2112309,35.13,82.4,83,16.11,20
229,Manta,EC,3654410,-0.95,75.2,78,4.7,40
230,Cabras,IT,2525478,39.93,83.73,47,3.04,48
231,Kotel,BG,730073,42.88,84.2,54,14.99,36
232,Chapais,CA,5919850,49.78,75.2,50,12.75,1
233,Rafai,CF,236524,4.95,82.74,74,4.16,12
234,Hobyo,SO,57000,5.35,80.31,63,24.85,36
235,Prince Rupert,CA,6113406,54.32,55.4,100,2.24,90
236,Klaksvik,FO,2618795,62.23,55.4,93,10.29,88
237,Saint George,BM,3573062,32.38,82.4,83,16.11,90
238,Zhadovka,RU,463568,53.57,71.67,87,4.94,88
